city,country,max_temp,humidity,cloudiness,wind_speed,lat,lon,date
Fethiye,TR,64.4,72,75,16.11,36.62,29.12,1607879903
Aksarka,RU,13.87,97,100,7.29,66.56,67.8,1607879903
Pinehurst,US,66.2,72,90,8.05,35.2,-79.47,1607879903
Coyhaique,CL,55.4,62,75,8.05,-45.58,-72.07,1607879718
Henderson,US,42.01,32,1,3.36,36.04,-114.98,1607879625
Lata,PT,61.0,93,100,1.99,40.16,-8.33,1607879668
Moose Factory,CA,14.0,78,90,9.17,51.26,-80.61,1607879620
Plymouth,US,62.01,76,1,12.75,41.83,-70.83,1607879886
Uyskoye,RU,13.14,90,8,2.71,54.38,60.0,1607879904
Kalmunai,LK,76.35,81,75,9.35,7.42,81.82,1607879653
Kearney,US,24.8,85,1,6.93,40.7,-99.08,1607879904
Hualmay,PE,73.0,67,97,11.16,-11.1,-77.61,1607879689
Sabaudia,IT,50.0,76,0,5.99,41.3,13.03,1607879904
Sinnamary,GF,84.51,67,27,8.75,5.38,-52.95,1607879637
Sergeevka,KZ,11.16,95,100,8.43,53.88,67.42,1607879905
Muros,ES,60.01,90,100,5.01,42.78,-9.06,1607879905
Mount Gambier,AU,71.6,43,90,8.05,-37.83,140.77,1607879905
Faanui,PF,78.87,77,5,12.77,-16.48,-151.75,1607879643
Bolobo,CD,77.0,81,50,3.13,-2.17,16.23,1607879905
Asău,RO,34.0,96,99,2.35,46.43,26.4,1607879683
Ust-Maya,RU,-48.53,76,97,1.14,60.42,134.53,1607879718
Kołobrzeg,PL,35.01,93,82,3.02,54.18,15.58,1607879905
Airai,TL,62.17,100,100,0.96,-8.93,125.41,1607879621
Talnakh,RU,-5.8,76,40,6.71,69.49,88.4,1607879651
Payson,US,21.99,78,1,4.7,40.04,-111.73,1607879507
Fort Nelson,CA,-16.6,75,75,2.24,58.81,-122.7,1607879448
Coahuayana Viejo,MX,73.4,73,75,2.86,18.73,-103.68,1607879906
Nome,US,19.4,52,20,13.87,64.5,-165.41,1607879906
Isla Vista,US,60.01,67,1,1.72,34.41,-119.86,1607879784
Charters Towers,AU,73.45,79,93,5.93,-20.1,146.27,1607879906
Grand Gaube,MU,75.99,83,4,4.0,-20.01,57.66,1607879635
Chandler,US,53.01,19,1,12.75,33.31,-111.84,1607879760
Chongoyape,PE,75.2,64,0,13.87,-6.64,-79.39,1607879907
Lüderitz,NA,71.6,64,0,21.92,-26.65,15.16,1607879642
Bengkulu,ID,75.54,85,94,3.89,-3.8,102.27,1607879664
College,US,1.4,70,75,9.17,64.86,-147.8,1607879615
San-Pédro,CI,81.81,77,90,7.52,4.75,-6.64,1607879907
Graaff-Reinet,ZA,79.0,39,0,6.04,-32.25,24.53,1607879907
Karabulak,RU,24.8,100,90,2.24,43.3,44.9,1607879908
Tomigusuku,JP,68.0,68,40,4.7,26.18,127.67,1607879908
Barcelos,PT,59.0,93,75,14.99,41.54,-8.62,1607879714
Sola,VU,81.37,83,95,12.84,-13.88,167.55,1607879680
Yangi Marg`ilon,UZ,30.2,80,90,4.7,40.43,71.72,1607879653
Ust-Kuyga,RU,-41.31,79,42,5.53,70.02,135.6,1607879691
Lima,PE,72.0,73,90,5.82,-12.04,-77.03,1607879908
Kahului,US,73.4,77,20,2.1,20.89,-156.47,1607879492
Wanning,CN,73.44,92,61,3.87,18.8,110.4,1607879734
Sorong,ID,81.39,77,27,4.21,-0.88,131.25,1607879822
São José da Coroa Grande,BR,82.9,66,40,13.2,-8.9,-35.15,1607879654
Ouadda,CF,81.57,23,63,3.42,8.08,22.4,1607879909
Narsaq,GL,26.6,86,75,2.53,60.92,-46.05,1607879643
Aberdeen,GB,44.6,93,75,20.8,57.14,-2.1,1607879796
General Cepeda,MX,64.4,48,40,4.85,25.38,-101.45,1607879909
Silver City,US,36.0,24,1,5.82,32.77,-108.28,1607879885
Valparaíso,CL,77.0,44,0,18.34,-33.04,-71.63,1607879727
Nagarote,NI,82.4,74,40,9.17,12.27,-86.56,1607879909
East London,ZA,69.8,88,75,11.41,-33.02,27.91,1607879626
Colac,AU,66.0,56,5,1.99,-38.33,143.58,1607879910
Tessalit,ML,77.56,19,0,9.71,20.2,1.01,1607879628
Westport,US,60.01,81,1,9.17,41.14,-73.36,1607879598
Itarema,BR,89.04,51,51,18.7,-2.92,-39.92,1607879638
Tuusula,FI,30.2,80,90,2.24,60.4,25.03,1607879910
Abbeville,FR,45.0,76,100,18.99,50.1,1.83,1607879910
Ismailia,EG,72.59,50,16,13.76,30.6,32.27,1607879910
Øksfjord,NO,30.2,92,75,8.05,70.24,22.35,1607879911
Guamúchil,MX,70.0,65,0,1.01,25.47,-108.1,1607879911
Galveston,US,69.01,88,90,8.05,29.37,-94.97,1607879911
Evensk,RU,6.75,90,100,13.47,61.95,159.23,1607879684
Maicao,CO,84.69,64,24,15.57,11.38,-72.24,1607879911
‘Āhuimanu,US,75.2,83,40,4.7,21.44,-157.84,1607879911
Mokhsogollokh,RU,-43.19,79,54,3.6,61.47,128.92,1607879911
Aquin,HT,81.14,69,9,3.53,18.28,-73.4,1607879912
Salalah,OM,77.0,27,0,11.41,17.02,54.09,1607879628
Olafsvik,IS,38.64,76,87,22.75,64.89,-23.71,1607879613
Sandakan,MY,78.8,94,20,3.0,5.84,118.12,1607879912
Praia,CV,82.4,39,0,17.22,14.92,-23.51,1607879912
São João do Paraíso,BR,80.42,41,0,7.45,-15.31,-42.01,1607879912
Kantang,TH,79.0,97,95,2.55,7.41,99.52,1607879912
Gubskaya,RU,45.86,66,46,2.86,44.32,40.64,1607879912
Kabinda,CD,66.43,95,93,3.44,-6.13,24.48,1607879912
